customer_id,customer_name,zone_id
C00000,Customer 0,JEDC07
C00001,Customer 1,JEDC07
C00002,Customer 2,JEDC07
C00003,Customer 3,JEDC07
C00004,Customer 4,JEDC07
C00005,Customer 5,JEDC03
C00006,Customer 6,JEDC03
C00007,Customer 7,JEDC03
C00008,Customer 8,JEDC03
C00009,Customer 9,JEDC11
C00010,Customer 10,JEDC11
C00011,Customer 11,JEDC11
C00012,Customer 12,JEDC11
C00013,Customer 13,JEDC05
C00014,Customer 14,JEDC05
C00015,Customer 15,JEDC05
C00016,Customer 16,JEDC05
C00017,Customer 17,JEDC10
C00018,Customer 18,JEDC10
C00019,Customer 19,JEDC10
C00020,Customer 20,JEDC10
C00021,Customer 21,JEDC01
C00022,Customer 22,JEDC01
C00023,Customer 23,JEDC01
C00024,Customer 24,JEDC01
C00025,Customer 25,JEDC01
C00026,Customer 26,JEDC06
C00027,Customer 27,JEDC06
C00028,Customer 28,JEDC06
C00029,Customer 29,JEDC06
C00030,Customer 30,JEDC06
C00031,Customer 31,JEDC09
C00032,Customer 32,JEDC09
C00033,Customer 33,JEDC09
C00034,Customer 34,JEDC04
C00035,Customer 35,JEDC04
C00036,Customer 36,JEDC04
C00037,Customer 37,JEDC04
C00038,Customer 38,JEDC04
C00039,Customer 39,JEDC02
C00040,Customer 40,JEDC02
C00041,Customer 41,JEDC02
C00042,Customer 42,JEDC02
C00043,Customer 43,JEDC02
C00044,Customer 44,JEDC12
C00045,Customer 45,JEDC12
C00046,Customer 46,JEDC12
C00047,Customer 47,JEDC12
C00048,Customer 48,JEDC08
C00049,Customer 49,JEDC08
C00050,Customer 50,JEDC07
C00051,Customer 51,JEDC07
C00052,Customer 52,JEDC07
C00053,Customer 53,JEDC07
C00054,Customer 54,JEDC07
C00055,Customer 55,JEDC03
C00056,Customer 56,JEDC03
C00057,Customer 57,JEDC03
C00058,Customer 58,JEDC03
C00059,Customer 59,JEDC11
C00060,Customer 60,JEDC11
C00061,Customer 61,JEDC11
C00062,Customer 62,JEDC11
C00063,Customer 63,JEDC05
C00064,Customer 64,JEDC05
C00065,Customer 65,JEDC05
