customer_id,customer_name,zone_id
C00000,Customer 0,JED001
C00001,Customer 1,JED001
C00002,Customer 2,JED001
C00003,Customer 3,JED001
C00004,Customer 4,JED001
C00005,Customer 5,JED001
C00006,Customer 6,JED001
C00007,Customer 7,JED001
C00008,Customer 8,JED001
C00009,Customer 9,JED001
C00010,Customer 10,JED001
C00011,Customer 11,JED001
C00012,Customer 12,JED001
C00013,Customer 13,JED001
C00014,Customer 14,JED001
C00015,Customer 15,JED001
C00016,Customer 16,JED001
C00017,Customer 17,JED001
C00018,Customer 18,JED001
C00019,Customer 19,JED001
C00020,Customer 20,JED002
C00021,Customer 21,JED002
C00022,Customer 22,JED002
C00023,Customer 23,JED002
C00024,Customer 24,JED002
C00025,Customer 25,JED002
C00026,Customer 26,JED002
C00027,Customer 27,JED002
C00028,Customer 28,JED002
C00029,Customer 29,JED002
C00030,Customer 30,JED002
C00031,Customer 31,JED002
C00032,Customer 32,JED002
C00033,Customer 33,JED002
C00034,Customer 34,JED002
C00035,Customer 35,JED002
C00036,Customer 36,JED002
C00037,Customer 37,JED002
C00038,Customer 38,JED002
C00039,Customer 39,JED002
C00040,Customer 40,JED002
C00041,Customer 41,JED002
C00042,Customer 42,JED002
C00043,Customer 43,JED002
C00044,Customer 44,JED002
C00045,Customer 45,JED002
C00046,Customer 46,JED002
C00047,Customer 47,JED002
C00048,Customer 48,JED002
C00049,Customer 49,JED002
C00050,Customer 50,JED001
C00051,Customer 51,JED001
C00052,Customer 52,JED001
C00053,Customer 53,JED001
C00054,Customer 54,JED001
C00055,Customer 55,JED001
C00056,Customer 56,JED001
C00057,Customer 57,JED001
C00058,Customer 58,JED001
C00059,Customer 59,JED001
C00060,Customer 60,JED001
C00061,Customer 61,JED001
C00062,Customer 62,JED001
C00063,Customer 63,JED001
C00064,Customer 64,JED001
C00065,Customer 65,JED001
C00066,Customer 66,JED001
C00067,Customer 67,JED001
C00068,Customer 68,JED001
C00069,Customer 69,JED001
C00070,Customer 70,JED002
C00071,Customer 71,JED002
C00072,Customer 72,JED002
C00073,Customer 73,JED002
C00074,Customer 74,JED002
C00075,Customer 75,JED002
C00076,Customer 76,JED002
C00077,Customer 77,JED002
C00078,Customer 78,JED002
C00079,Customer 79,JED002
C00080,Customer 80,JED002
C00081,Customer 81,JED002
C00082,Customer 82,JED002
C00083,Customer 83,JED002
C00084,Customer 84,JED002
C00085,Customer 85,JED002
C00086,Customer 86,JED002
C00087,Customer 87,JED002
C00088,Customer 88,JED002
C00089,Customer 89,JED002
C00090,Customer 90,JED002
C00091,Customer 91,JED002
C00092,Customer 92,JED002
C00093,Customer 93,JED002
C00094,Customer 94,JED002
C00095,Customer 95,JED002
C00096,Customer 96,JED002
C00097,Customer 97,JED002
C00098,Customer 98,JED002
C00099,Customer 99,JED002
C00100,Customer 100,JED001
C00101,Customer 101,JED001
C00102,Customer 102,JED001
C00103,Customer 103,JED001
C00104,Customer 104,JED001
C00105,Customer 105,JED001
C00106,Customer 106,JED001
C00107,Customer 107,JED001
C00108,Customer 108,JED001
C00109,Customer 109,JED001
C00110,Customer 110,JED001
C00111,Customer 111,JED001
C00112,Customer 112,JED001
C00113,Customer 113,JED001
C00114,Customer 114,JED001
C00115,Customer 115,JED001
C00116,Customer 116,JED001
C00117,Customer 117,JED001
C00118,Customer 118,JED001
C00119,Customer 119,JED001
C00120,Customer 120,JED002
C00121,Customer 121,JED002
C00122,Customer 122,JED002
C00123,Customer 123,JED002
C00124,Customer 124,JED002
C00125,Customer 125,JED002
C00126,Customer 126,JED002
C00127,Customer 127,JED002
C00128,Customer 128,JED002
C00129,Customer 129,JED002
C00130,Customer 130,JED002
C00131,Customer 131,JED002
C00132,Customer 132,JED002
C00133,Customer 133,JED002
C00134,Customer 134,JED002
C00135,Customer 135,JED002
C00136,Customer 136,JED002
C00137,Customer 137,JED002
C00138,Customer 138,JED002
C00139,Customer 139,JED002
C00140,Customer 140,JED002
C00141,Customer 141,JED002
C00142,Customer 142,JED002
C00143,Customer 143,JED002
C00144,Customer 144,JED002
C00145,Customer 145,JED002
C00146,Customer 146,JED002
C00147,Customer 147,JED002
C00148,Customer 148,JED002
C00149,Customer 149,JED002
C00150,Customer 150,JED001
C00151,Customer 151,JED001
C00152,Customer 152,JED001
C00153,Customer 153,JED001
C00154,Customer 154,JED001
C00155,Customer 155,JED001
C00156,Customer 156,JED001
C00157,Customer 157,JED001
C00158,Customer 158,JED001
C00159,Customer 159,JED001
C00160,Customer 160,JED001
C00161,Customer 161,JED001
C00162,Customer 162,JED001
C00163,Customer 163,JED001
C00164,Customer 164,JED001
C00165,Customer 165,JED001
C00166,Customer 166,JED001
C00167,Customer 167,JED001
C00168,Customer 168,JED001
C00169,Customer 169,JED001
C00170,Customer 170,JED002
C00171,Customer 171,JED002
C00172,Customer 172,JED002
C00173,Customer 173,JED002
C00174,Customer 174,JED002
C00175,Customer 175,JED002
C00176,Customer 176,JED002
C00177,Customer 177,JED002
C00178,Customer 178,JED002
C00179,Customer 179,JED002
C00180,Customer 180,JED002
C00181,Customer 181,JED002
C00182,Customer 182,JED002
C00183,Customer 183,JED002
C00184,Customer 184,JED002
C00185,Customer 185,JED002
C00186,Customer 186,JED002
C00187,Customer 187,JED002
C00188,Customer 188,JED002
C00189,Customer 189,JED002
C00190,Customer 190,JED002
C00191,Customer 191,JED002
C00192,Customer 192,JED002
C00193,Customer 193,JED002
C00194,Customer 194,JED002
C00195,Customer 195,JED002
