Area,Region,City,Zone,AgentId,AgentName,CusId,CusName,BuyerPhone,ReceiverPhone,FinancePhone,CH,SubChannel,F,StartWeeks,Days,Latitude,Longitude,VAT,CR,BL,createdDate,TotalDeliveredOrders,PaymentType,CreditDays,CreditLimit,Status,Validation,CreationType,CheckIn,CRExpiryDate,BLExpiryDate,StreetName,DistrictName,AdditionalNum,ZipCode,BuildingNumber,DC,AssignmentType,Geocode Quality,Full Corrected Address
,,القريات,SKA001,,,CS003205,شركه أسواق تميز السلمان للمواد الغذائية,"559,758,185",,,Traditional Trade,Large Grocery,,1,SUN,31.32269,37.33684,"311,514,657,300,003","3,452,008,343","39,111,501,649",2024-02-26,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-04-20,2025-06-25,شارع الجزيره,الشفا,77454,77454,9385,SAKAKA,Zone,,
,,القريات,SKA001,,,CS003207,شركة الخليج الرئيسي,"508,739,373",,,Traditional Trade,Large Grocery,,1,SUN,31.31875,37.33087,"311,883,043,100,003","3,452,010,859","40,021,703,717",2024-02-26,2,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2026-05-19,2025-07-10,شارع عمر بن عبدالعزيز,الشفا,77454,77454,2905,SAKAKA,Zone,,
,,القريات,SKA001,,,CS003209,مؤسسة نسمة الشمال للتجارة,"559,090,915",,,Traditional Trade,Large Grocery,,1,TUE,31.29542,37.34153,"301,180,686,500,003","7,011,533,119","40,082,117,376",2024-02-26,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع الثلاثين,المروج,1,77454,6314,SAKAKA,Zone,,
,,القريات,SKA001,,,CS003210,مؤسسة محمد سليمان للمواد الغذائية,"534,160,558",,,Traditional Trade,Medium Grocery,,1,TUE,31.29972,37.34617,"301,076,099,300,003","7,010,660,681","3,910,690,859",2024-02-26,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-08-20,2024-07-07,شارع الثلاثين,الرفاع,77457,77457,8189,SAKAKA,Zone,,
,,القريات,SKA001,,,CS003211,ملاك مني ماركت,"556,615,583",,,Traditional Trade,Large Grocery,,1,SUN,31.33055,37.34243,"301,000,878,900,003","3,452,147,148","441,012,111,444",2024-02-26,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع تبوك,الحميدية,77453,77453,7379,SAKAKA,Zone,,
,,القريات,SKA001,,,CS003212,مؤسسةمحمصة بيوت الضيافة,"501,060,627",,,Traditional Trade,Medium Grocery,,1,MON,31.33057,37.35429,"310,184,288,500,003","3,452,144,140","3,910,692,769",2024-02-26,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع علي بن ابي طالب,العزيزية,77453,77453,7094,SAKAKA,Zone,,
,,القريات,SKA001,,,CS003214,أسوق وتموينات الراجح للمواد الغذائية,"501,465,587",,,Traditional Trade,Large Grocery,,1,SAT,31.38439,37.29094,"311,111,111,111,113","3,452,149,311","40,021,706,583",2024-02-28,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-03-19,2024-07-07,شارع عمر ابن الخطاب,الحميدية,77491,77491,8695,SAKAKA,Zone,,
,,القريات,SKA001,,,CS003218,أسواق الجبيهة غير للمواد الغذائية,"569,255,194",,,Traditional Trade,Large Grocery,,1,TUE,31.32810,37.36406,"311,532,195,200,003","3,452,150,488","44,000,000,000,095",2024-03-01,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,1979-11-20,1979-11-20,شارع ابن سينا,حصيده,1,77453,7026,SAKAKA,Zone,,
,,القريات,SKA001,,,CS003219,أسواق الجبيهة غير للمواد الغذائية,"554,342,273",,,Traditional Trade,Large Grocery,,1,TUE,31.32812,37.36398,"311,532,195,200,003","3,452,150,488","44,000,000,000,096",2024-03-01,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-01-19,2025-02-14,شارع ابن سينا,حصيده,77453,77453,7026,SAKAKA,Zone,,
,,القريات,SKA001,,,CS003221,شركة المثالي غيرالتجاريه للبيع بالجملة وتجزية,"530,275,381",,,Traditional Trade,Large Grocery,,1,SUN,31.33923,37.33108,"311,270,245,100,003","3,452,149,402","450,413,659,620",2024-03-03,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-07-26,2026-09-27,الملك فيصل,العزيزية,77453,77453,3276,SAKAKA,Zone,,
,,القريات,SKA001,,,CS003222,مؤسسة فيصل التيماني,"502,245,926",,,Traditional Trade,Medium Grocery,,1,SUN,31.34052,37.33003,"300,945,987,100,003","3,402,102,207","3,910,683,350",2024-03-03,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2027-06-25,2025-06-28,الملك عبد العزيز,الفيصلية,77453,77453,2938,SAKAKA,Zone,,
,,غطي,SKA001,,,CS003228,تموينات نورة,"559,124,107",,,Traditional Trade,Medium Grocery,,1,WED,31.26522,37.52519,"311,008,239,900,003","3,452,147,994","440,811,679,059",2024-03-10,0,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع ابو الفضل بن المرجاني,الوادي,77419,77419,3766,SAKAKA,Zone,,
,,غطي,SKA001,,,CS003230,تموينات غطي,"501,861,881",,,Traditional Trade,Medium Grocery,,1,WED,31.26380,37.52831,"310,174,376,200,003","3,452,144,066","40,122,535,807",2024-03-10,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2024-11-08,2025-06-13,الشارع العام,الوادي,3507,77419,7603,SAKAKA,Zone,,
,,غطي,SKA001,,,CS003231,تموينات رمز الوسام,"507,756,683",,,Traditional Trade,Medium Grocery,,1,WED,31.26393,37.53161,"311,008,239,900,003","3,452,150,078","440,310,804,766",2024-03-10,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2024-09-27,2024-09-30,الشارع العام,الوادي,77419,77419,6249,SAKAKA,Zone,,
,,القريات,SKA001,,,CS003233,شركة نجمة الانوار للتجارة,"561,568,653",,,Traditional Trade,Medium Grocery,,1,SAT,31.40520,37.25801,"311,305,616,900,003","3,452,144,955","431,210,193,132",2024-03-11,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,,,شارع تبوك,الورود,77453,77453,7400,SAKAKA,Zone,,
,,القريات,SKA001,,,CS003234,تموينات الصبغاء للمواد الغذائية,"530,491,845",,,Traditional Trade,Medium Grocery,,1,SAT,31.44958,37.15401,"301,293,184,700,003","3,452,146,341","431,210,212,066",2024-03-12,1,,0,0.0000000,In-Active,Approved by Finance,Agent Registration,Required,2025-04-27,2025-07-12,حي الرفاع,الحديثة,77454,77454,6614,SAKAKA,Zone,,
